Ticker,Close_Price_2025-12-01,Status
AAPL,283.1,OK
ABT,128.01,OK
ACN,257.43,OK
ADBE,322.85,OK
ADP,255.84,OK
AMGN,337.49,OK
AMT,176.27,OK
AMZN,233.88,OK
AXP,360.31,OK
BA,186.46,OK
BAC,53.24,OK
BDX,191.82,OK
BMY,49.18,OK
BSX,101.01,OK
C,102.68,OK
CAT,568.06,OK
CB,293.88,OK
CI,273.57,OK
CMCSA,26.58,OK
CME,278.99,OK
COP,90.26,OK
COST,911.96,OK
CRM,232.83,OK
CSCO,76.04,OK
CVS,79.1,OK
CVX,152.54,OK
D,60.8,OK
DHR,224.14,OK
DUK,120.75,OK
FIS,66.2,OK
FISV,62.69,OK
GE,288.45,OK
GILD,124.33,OK
GOOG,315.12,OK
GS,810.86,OK
HD,357.33,OK
HON,190.22,OK
IBM,305.67,OK
INTC,40.01,OK
INTU,631.62,OK
ISRG,567.37,OK
JNJ,205.34,OK
JPM,308.92,OK
KO,71.95,OK
LLY,1057.89,OK
LMT,439.19,OK
LOW,246.39,OK
MA,543.97,OK
MCD,303.57,OK
MDT,103.34,OK
MMM,170.48,OK
MO,59.14,OK
MRK,101.83,OK
MS,168.47,OK
MSFT,486.74,OK
NFLX,109.13,OK
NKE,65.39,OK
NVDA,179.92,OK
ORCL,200.94,OK
PEP,149.51,OK
PFE,25.27,OK
PG,147.44,OK
PNC,192.4,OK
QCOM,168.04,OK
SBUX,84.91,OK
SO,89.01,OK
SYK,372.32,OK
T,25.79,OK
TGT,91.36,OK
TJX,151.13,OK
TXN,168.16,OK
UNH,323.21,OK
UNP,231.36,OK
UPS,95.22,OK
USB,49.41,OK
VZ,40.74,OK
WFC,85.4,OK
WMT,111.53,OK
